I_in,Q_in,I_out,Q_out
-2.220446049e-17,1.110223025e-17,-3.996802889e-17,1.998401444e-17
-0.007090613184,0.004112326155,-0.01276178682,0.007400506662
-0.01379892211,0.008110142275,-0.02482833314,0.01458569394
-0.02009531787,0.01198274846,-0.03614146768,0.02152954666
-0.02595239477,0.01571996221,-0.04664932239,0.02820962419
-0.03134508845,0.0193121484,-0.05630638378,0.03460697391
-0.0362508038,0.02275024781,-0.0650734295,0.04070593602
-0.04064953199,0.02602580428,-0.07291737471,0.04649386146
-0.04452395607,0.02913099024,-0.07981105409,0.05196076676
-0.04785954443,0.03205863069,-0.08573296489,0.0570989502
-0.05064463149,0.03480222547,-0.09066699491,0.06190259253
-0.05287048537,0.03735596973,-0.09460215618,0.06636736411
-0.05453136177,0.03971477252,-0.097532342,0.07049005741
-0.0556245439,0.04187427345,-0.0994561207,0.07426826082
-0.05615036807,0.04383085725,-0.1003765759,0.07770008659
-0.05611223463,0.04558166626,-0.1003011986,0.08078396194
-0.05551660414,0.04712461066,-0.09924183303,0.08351848933
-0.05437297856,0.04845837643,-0.09721467384,0.0859023782
-0.05269386758,0.04958243087,-0.09424030982,0.08793444755
-0.05049473981,0.05049702578,-0.09034380514,0.08961369565
-0.04779395932,0.051203198,-0.08555480724,0.09093943029
-0.04461270725,0.05170276741,-0.07990766759,0.0919114507
-0.04097488918,0.0519983323,-0.07344155995,0.09253026972
-0.0369070282,0.05209326204,-0.06620057934,0.09279736318
-0.0324381443,0.05199168693,-0.05823380436,0.09271543201
-0.02759962046,0.0516984854,-0.04959530572,0.09228866149
-0.0224250559,0.0512192683,-0.04034408505,0.09152296217
-0.01695010728,0.05056036041,-0.03054393013,0.09042617716
-0.01121231829,0.04972877914,-0.02026317605,0.08900824193
-0.005250938525,0.0487322104,-0.009574365834,0.08728128477
0.0008932676307,0.04757898166,0.0014461907,0.0852596591
0.007178221287,0.04627803231,0.0127189558,0.08295990215
0.01356073752,0.04483888117,0.02416179029,0.08040061883
0.01999674115,0.04327159153,0.0356906523,0.07760229393
0.02644148875,0.04158673341,0.04722034786,0.07458704001
0.03284979595,0.03979534349,0.05866530944,0.07137829264
0.03917626886,0.03790888254,0.06994037602,0.06800046762
0.04537553849,0.03593919059,0.08096154805,0.06447859755
0.05140249713,0.03389844001,0.09164669176,0.06083796631
0.05721253543,0.03179908654,0.1019161703,0.05710375985
0.06276177908,0.02965381844,0.1116933835,0.05330075079
0.06800732376,0.02747550413,0.1209052042,0.04945303184
0.0729074674,0.02527713813,0.129482304,0.04558380959
0.07742193831,0.02307178591,0.1373593687,0.04171526671
0.0815121182,0.02087252759,0.1444752098,0.03786849585
