I_in,Q_in,I_out,Q_out
-0.269499093,0.0425524898,-0.410137951,0.0600536764
-0.331934124,0.133228406,-0.515404582,0.208949879
-0.324466377,0.191718802,-0.491746992,0.29826805
-0.245133355,0.184091464,-0.385531992,0.297628999
-0.124059647,0.104793839,-0.206450522,0.1841553
-0.0107211797,-0.0143542066,-0.0192677435,-0.0143911308
0.0506132916,-0.1152687,0.0819573924,-0.188768879
0.0442919657,-0.140832856,0.072887741,-0.236869022
-0.00772342458,-0.0650536269,-0.0142964562,-0.118917882
-0.0572099499,0.0896548331,-0.095535703,0.140190929
-0.0561850443,0.258168042,-0.0896507725,0.40891397
0.0154170319,0.360157639,0.0267210156,0.553767622
0.136206731,0.337084174,0.211515278,0.521022499
0.252100945,0.181079149,0.399272054,0.29195106
0.303595722,-0.0584767759,0.480991095,-0.0852610469
0.257497191,-0.29439801,0.391963214,-0.442139447
0.126194909,-0.43850404,0.182118833,-0.637915492
-0.0361569859,-0.4389534,-0.0566477366,-0.646582961
-0.159044281,-0.301195711,-0.252386153,-0.473989397
-0.189610198,-0.0835582614,-0.317846268,-0.143961325
-0.117752716,0.129615441,-0.200869113,0.209990844
0.0204180926,0.264276505,0.0288258288,0.425070912
0.161946908,0.285838574,0.253183901,0.448365659
0.248454005,0.208860889,0.392796755,0.327987164
0.252937883,0.0845586509,0.409535497,0.133727312
0.18850255,-0.0263224337,0.315303743,-0.0458920151
0.0958950892,-0.0817117393,0.161788344,-0.140784964
0.0183318574,-0.0746021792,0.0305660553,-0.128795624
-0.0215026401,-0.0312413462,-0.0367884748,-0.0558686815
-0.0295836814,0.00633756956,-0.0509690978,0.010404407
-0.030375503,0.00387083646,-0.0497410968,0.00858340319
-0.0458315834,-0.0471640527,-0.0752895549,-0.074925743
-0.0772545636,-0.125416875,-0.127438352,-0.202864453
-0.101716347,-0.190675467,-0.167781249,-0.306542754
-0.0857743844,-0.20420894,-0.145009413,-0.32880199
-0.00854088087,-0.148556471,-0.024643017,-0.248002812
0.119965121,-0.0374567062,0.18860814,-0.0673761293
0.257154554,0.0886521116,0.405050755,0.134138301
0.345590413,0.179508135,0.522581875,0.262222677
0.3415488,0.196667999,0.519689023,0.289189845
0.2390939,0.130199745,0.393971086,0.203746304
0.0760344416,0.00291835261,0.140908405,0.00535303634
-0.0824407712,-0.139804512,-0.128874421,-0.225017339
-0.174592093,-0.250150174,-0.277545124,-0.387830734
-0.171546429,-0.298804462,-0.274490625,-0.457026333
-0.0899454951,-0.287099272,-0.153469026,-0.450900555
0.0186652932,-0.244532868,0.0187510066,-0.394407421
0.0957885534,-0.212566778,0.148132876,-0.34693414
0.106168687,-0.222218081,0.169868022,-0.358869046
0.0541767403,-0.276361376,0.087004818,-0.438351154
-0.0219182838,-0.345968813,-0.0340326987,-0.53313607
-0.0739476457,-0.383176655,-0.116952918,-0.576414764
-0.0723887309,-0.345809072,-0.121708795,-0.53154093
-0.0234971344,-0.221746966,-0.0489198975,-0.364004254
0.0344087891,-0.040594168,0.0502187684,-0.0763945132
0.0533296466,0.134604737,0.0879563764,0.214830488
0.00416168803,0.233430877,0.0143694635,0.373872697
-0.1043704,0.210665107,-0.155363575,0.344651282
-0.226971716,0.0699057654,-0.355386525,0.124550842
-0.302826643,-0.133991331,-0.468869537,-0.192452416
-0.285454839,-0.316295773,-0.429107368,-0.453884155
-0.165855929,-0.398741186,-0.257199019,-0.578437507
0.0227694158,-0.344191432,0.0155315781,-0.530558169
0.220567793,-0.173114181,0.333716363,-0.287028402
0.368223071,0.0463505387,0.553653955,0.0550276823
0.431675851,0.230270416,0.61302954,0.312142193
0.412446141,0.3174977,0.576546371,0.430449784
0.339933336,0.296281189,0.501816809,0.425638139
0.251705587,0.206131965,0.401492,0.319810003
0.173509791,0.114518464,0.289381742,0.185644493
0.109693654,0.0805921853,0.185538039,0.129321918
0.0479428954,0.124577954,0.0828266814,0.20005849
-0.0261848457,0.218359143,-0.0365913771,0.349781185
-0.114710674,0.301715314,-0.170067951,0.469197959
-0.201786622,0.315356702,-0.29569754,0.484346479
-0.260576129,0.233270824,-0.391258478,0.368634641
-0.268191993,0.0774366111,-0.421968222,0.138402894
-0.219684839,-0.0926578641,-0.356763154,-0.136015221
-0.132716164,-0.210013121,-0.222095206,-0.331602961
-0.0400223881,-0.233828813,-0.0741966143,-0.378006339
0.0262020435,-0.169414327,0.0350532271,-0.283992916
0.049361039,-0.0642748028,0.0806829408,-0.113754913
0.0348041803,0.0170557834,0.0586778,0.0244940408
0.00439221179,0.0258972943,0.0111115854,0.0455773883
-0.0171475969,-0.0470990799,-0.0276404787,-0.0728738382
-0.0160988532,-0.169495419,-0.0276658032,-0.270860106
0.00386037561,-0.285838753,0.00156351004,-0.448541105
0.025888877,-0.346797109,0.0319250375,-0.53467983
0.0317521244,-0.332956105,0.041304905,-0.520698011
0.0138435643,-0.261302859,0.0157735981,-0.422944546
-0.0197161119,-0.172353268,-0.035649877,-0.289241552
-0.0498317815,-0.106360503,-0.0844531059,-0.177727237
-0.0581363142,-0.0823368132,-0.0988095999,-0.136668742
-0.0386952423,-0.0910732299,-0.0673395321,-0.146967307
-0.00278228079,-0.104742423,-0.00834879559,-0.172747865
0.0262180902,-0.0961216763,0.040739771,-0.160211861
0.0251021776,-0.055421479,0.0413361788,-0.0971193686
-0.0163997095,0.00514721032,-0.0256438591,0.00560378097
-0.0893815309,0.0610956252,-0.144750074,0.0995648056
-0.169381335,0.0929257497,-0.270932734,0.152266547
-0.22782959,0.0996974707,-0.363485008,0.165610701
-0.245166734,0.100037642,-0.389970124,0.165491149
-0.21882166,0.119559154,-0.353000432,0.196618646
-0.162292093,0.172238559,-0.26295954,0.279095113
-0.0964957401,0.2474747,-0.154132053,0.395445257
-0.0385951735,0.311696082,-0.0574379228,0.487793714
0.00551245734,0.324990779,0.014046777,0.508094072
0.0412847176,0.26410073,0.0716733187,0.42768994
0.0787893459,0.138630584,0.134583488,0.235581324
0.1234883,-0.00968140643,0.208167732,-0.010217444
0.17009142,-0.125698715,0.274410218,-0.204689935
0.203104258,-0.16848056,0.320750654,-0.274240136
0.203890935,-0.133022606,0.324742943,-0.222862184
0.160530537,-0.0538629144,0.262922376,-0.0971831903
0.0753251389,0.0123449434,0.12955907,0.014392064
-0.0338770971,0.0168113336,-0.0483217016,0.0277962945
-0.139225528,-0.0545076728,-0.225308761,-0.0834051371
-0.212701082,-0.171691775,-0.337866366,-0.263967067
-0.235915899,-0.274897486,-0.367414206,-0.41269955
-0.20597145,-0.305053055,-0.322838515,-0.461066753
-0.135539234,-0.235624358,-0.226435795,-0.378294408
-0.0478267856,-0.0889223814,-0.0905327201,-0.155250162
0.0311741456,0.0719210133,0.0456494503,0.113862291
0.0803347155,0.171875969,0.134451702,0.279102743
0.0887693167,0.159812719,0.152052641,0.265459329
0.0578841493,0.0336882249,0.104938164,0.0629411563
-1.0290255e-05,-0.157049984,0.00440367125,-0.251425266
-0.0659762844,-0.332793057,-0.102610379,-0.509634972
-0.120565385,-0.418432802,-0.183532283,-0.611531675
-0.150194213,-0.37508899,-0.23135893,-0.562295437
-0.151765704,-0.214845419,-0.252460778,-0.349077404
-0.133608609,0.00685133599,-0.228750005,0.0028547775
-0.11181318,0.215952143,-0.181799397,0.343456507
-0.102893762,0.349417567,-0.15251185,0.5356884
-0.115679964,0.376705945,-0.163306519,0.570144057
-0.146303028,0.305523962,-0.216262281,0.479855508
-0.179240212,0.172275707,-0.27901724,0.287083745
-0.194658875,0.0241454821,-0.313272744,0.0502774008
-0.178931281,-0.0981631801,-0.294583559,-0.151677132
-0.132982537,-0.170530736,-0.222535342,-0.271890759
-0.0735603198,-0.186812937,-0.126976863,-0.30458039
-0.0257669576,-0.154299766,-0.0479523093,-0.256163955
-0.00985333323,-0.0876320601,-0.0204137098,-0.151467144
-0.0288953315,-0.00428772019,-0.047956381,-0.0113886734
-0.0643720776,0.077873379,-0.106443174,0.126675978
-0.0831978694,0.142433435,-0.13625823,0.235659182
-0.0538923852,0.17705138,-0.086841546,0.294144899
0.0357127823,0.176774874,0.05825397,0.294873029
0.168557614,0.146192685,0.270316601,0.23813127
0.302399695,0.0982672572,0.470369071,0.15321596
0.38720724,0.0492275283,0.584351122,0.0691118762
0.388201684,0.0114106452,0.588399589,0.00886774994
0.303258151,-0.0122806029,0.483261675,-0.0274705235
0.165456608,-0.0289618261,0.279180586,-0.0537525117
0.0286319256,-0.0505673289,0.054911077,-0.086844109
-0.0576128177,-0.0854105726,-0.096317552,-0.140600696
-0.0712448135,-0.131251633,-0.121579446,-0.211603105
-0.0276416838,-0.174189776,-0.052380532,-0.282322794
0.0294070505,-0.194668174,0.0411974154,-0.317241967
0.0513347425,-0.177840114,0.079585135,-0.29493922
0.0111631062,-0.122790806,0.01750689,-0.210287109
-0.0810726285,-0.0453028344,-0.132501662,-0.0817046463
-0.182212666,0.0279576275,-0.296328068,0.0428236946
-0.237729788,0.0714213252,-0.381138533,0.118593335
-0.210554421,0.0729239881,-0.342575818,0.126125336
-0.102161273,0.040077433,-0.175031021,0.0753476769
0.045323059,-0.00270629139,0.0689033195,0.000408095337
0.167762637,-0.0253037792,0.271944106,-0.0435945615
0.209569052,-0.00584387826,0.340331614,-0.0168666467
0.151039109,0.059013512,0.25392428,0.0868529975
0.0186638106,0.152104035,0.0390841402,0.241981
-0.127024457,0.242641643,-0.192596018,0.382934839
-0.220269367,0.298455626,-0.328731298,0.45774442
-0.221388549,0.298017681,-0.332663864,0.461724252
-0.135103539,0.237407759,-0.214588523,0.386787564
-0.00696823606,0.130166724,-0.0144470483,0.224910483
0.100050144,0.00123090856,0.165991992,0.00741503388
0.136897892,-0.121762902,0.225951791,-0.199112132
0.0919405073,-0.216305509,0.150996551,-0.351568371
-0.00491070282,-0.269781053,-0.00745073007,-0.432477713
-0.0990658849,-0.28072539,-0.158541352,-0.443266928
-0.140117571,-0.257331491,-0.228639394,-0.406435609
-0.10778939,-0.214248613,-0.182648733,-0.344059169
-0.0218017697,-0.168452218,-0.045609381,-0.275257438
0.0691245124,-0.134766161,0.107922487,-0.223083436
0.113204412,-0.121845506,0.185147062,-0.202229276
0.0829899013,-0.129853934,0.139112145,-0.216551974
-0.00985055324,-0.151076853,-0.0125285657,-0.25153932
-0.119910717,-0.173832953,-0.193527877,-0.28259635
-0.190809399,-0.188446864,-0.30670464,-0.297096789
-0.183749214,-0.192574799,-0.300922513,-0.302695483
-0.0973980352,-0.192898691,-0.168720797,-0.307359695
0.0309495665,-0.201663539,0.0397881791,-0.325133473
0.143531814,-0.229238063,0.222147986,-0.365480781
0.190534055,-0.276419789,0.291723281,-0.431043833
0.154626042,-0.330993086,0.234775588,-0.508247793
0.0594896786,-0.371300101,0.0887871534,-0.56658113
-0.0418168679,-0.375940084,-0.0660081804,-0.572742879
-0.092886053,-0.335049212,-0.151687399,-0.516994476
-0.0616468973,-0.257073343,-0.108630382,-0.413082808
0.0436551608,-0.166692257,0.0602649003,-0.275070459
0.177679643,-0.093965441,0.279436976,-0.15679808
0.27854982,-0.0596294999,0.439679295,-0.0989248902
0.295678467,-0.0640858412,0.468390405,-0.105557241
0.211681962,-0.0863131657,0.348096251,-0.144880101
0.0485325493,-0.0941143259,0.0884660929,-0.163016006
-0.143992484,-0.0611422099,-0.231781632,-0.104796514
-0.311036319,0.0177851394,-0.485093772,0.0279194769
-0.415158778,0.121227548,-0.609427154,0.180261821
-0.448135167,0.209011003,-0.630158961,0.299654126
-0.427600265,0.240252212,-0.600316286,0.34737879
-0.381937742,0.193027198,-0.557443798,0.295433968
-0.332493335,0.0761108398,-0.510042667,0.131345406
-0.28291139,-0.0730442554,-0.447576076,-0.101749346
-0.220985264,-0.20325309,-0.35328424,-0.310090929
-0.13132219,-0.270451635,-0.215959311,-0.420185626
-0.0111135188,-0.254861593,-0.030068893,-0.407785892
0.120497622,-0.16706495,0.184629381,-0.278148264
0.225638419,-0.0412329845,0.357657582,-0.0766589791
0.263008416,0.08018668,0.419355661,0.116740935
0.208155513,0.162614495,0.341799825,0.251246333
0.068544507,0.189320654,0.12456663,0.304038525
-0.114696644,0.16228424,-0.173298672,0.264965355
-0.280248851,0.0958411992,-0.433426023,0.15790078
-0.369894445,0.00807036273,-0.561116993,0.0221150089
-0.35146752,-0.085300751,-0.541203618,-0.119491398
-0.231374741,-0.172473386,-0.375116825,-0.26200214
-0.0514128357,-0.24401474,-0.0952131376,-0.384349167
0.12826018,-0.291337252,0.18995519,-0.455033004
0.252162784,-0.307667047,0.369532764,-0.467230648
0.288636595,-0.291406184,0.424080014,-0.439604133
0.237782136,-0.249323115,0.36633423,-0.39207378
0.126511976,-0.196402401,0.20698911,-0.32490021
-0.00519148726,-0.150971308,-0.0063017346,-0.254641742
-0.119620465,-0.126820073,-0.195566386,-0.207635909
-0.19182618,-0.12642169,-0.310725003,-0.201244339
-0.212463602,-0.139360785,-0.344911933,-0.217763528
-0.184532657,-0.147463769,-0.30312714,-0.232942253
-0.118108585,-0.134312466,-0.200317144,-0.216272369
-0.0268014837,-0.0940910503,-0.0521695912,-0.155510679
0.0729287192,-0.0348074175,0.115127072,-0.0600321963
0.161404669,0.0260440987,0.261635214,0.0378372893
0.217336595,0.071015045,0.353375316,0.109944254
0.223089516,0.092005454,0.363482505,0.14282681
0.172251225,0.0939528421,0.287412047,0.14753975
0.075415194,0.0907477885,0.133473724,0.147503451
-0.040308021,0.0958053619,-0.0601951368,0.156890824
-0.139928937,0.112982959,-0.224185541,0.186376318
-0.19479531,0.133480728,-0.313024879,0.21894677
