I_in,Q_in,I_out,Q_out
-0.397156566,-0.00709208148,-0.567723215,-0.0180002488
-0.191510871,-0.076497741,-0.339372486,-0.103000239
0.0487894341,-0.142027184,0.0671394318,-0.226918206
0.231651455,-0.164852023,0.359046757,-0.264989048
0.2927531,-0.119576298,0.455768138,-0.196667999
0.220356166,-0.00600744318,0.360695839,-0.0239533167
0.0555546097,0.149414182,0.101156436,0.233571514
-0.130339414,0.30283317,-0.191505596,0.464060396
-0.268923759,0.408802748,-0.37122336,0.580591977
-0.322133809,0.436323911,-0.429278761,0.596994281
-0.292134404,0.379094183,-0.410319775,0.547794402
-0.21163255,0.256609619,-0.324444532,0.409017771
-0.122354813,0.106382795,-0.200908959,0.187252685
-0.054210484,-0.0293269977,-0.0910019055,-0.0405189618
-0.0154415853,-0.117275447,-0.029590318,-0.191278428
0.00328201242,-0.142767712,0.00221852353,-0.238334611
0.0158761609,-0.112081535,0.0223682877,-0.18956168
0.0282643698,-0.0475360416,0.0441017225,-0.0846271664
0.0339971147,0.0224861093,0.0558278151,0.0341784507
0.0199731607,0.0746018365,0.0362283066,0.12316633
-0.0223343577,0.0983828455,-0.0325935967,0.164233387
-0.0880083591,0.0983039215,-0.140448436,0.163326576
-0.158313364,0.0892008021,-0.253933012,0.149201527
-0.209501266,0.0874299034,-0.336241305,0.144965082
-0.225695491,0.101785071,-0.361801952,0.167815313
-0.208112732,0.128408343,-0.336039275,0.209363177
-0.174919292,0.152206361,-0.28273499,0.249691322
-0.151479185,0.154284075,-0.242423072,0.254333764
-0.156383798,0.121953137,-0.250716984,0.204796344
-0.191157281,0.0564055741,-0.307491481,0.098654151
-0.239465132,-0.0259892438,-0.384242952,-0.0347716436
-0.276243389,-0.0998593196,-0.435996205,-0.150873601
-0.281553388,-0.141883105,-0.445059955,-0.216554448
-0.251366973,-0.141522616,-0.404315621,-0.221337989
-0.19934015,-0.106114306,-0.329299241,-0.168853074
-0.148811638,-0.0575570017,-0.249166265,-0.0948600546
-0.119761288,-0.0219110847,-0.200874284,-0.034981098
-0.118159145,-0.016795177,-0.195045248,-0.0259968136
-0.133567944,-0.0426971391,-0.220476434,-0.0678051412
-0.146028623,-0.0825091302,-0.240469009,-0.130601272
-0.137990534,-0.109604396,-0.229927883,-0.176207632
-0.104344539,-0.100587413,-0.177524492,-0.164898261
-0.0549367331,-0.0465809703,-0.0957484916,-0.0794592053
-0.00840627961,0.0423022509,-0.0167602543,0.0665619299
0.0188354291,0.14125292,0.0322086923,0.230316117
0.0220333505,0.221512541,0.0383050814,0.35713163
0.010599955,0.262301713,0.0233280864,0.418726027
0.00249794126,0.258409947,0.0104313083,0.415655792
0.0139352158,0.220374763,0.0273446348,0.359567523
0.0503330044,0.167923927,0.0845367163,0.278187454
0.103564613,0.120440073,0.172418803,0.200331479
0.156707481,0.0891545936,0.257944316,0.145136803
0.193265066,0.0743410513,0.316174865,0.118631281
0.205464914,0.0679549202,0.335598767,0.105030365
0.197071105,0.059557151,0.323460609,0.0925080404
0.179524213,0.0422428921,0.296683609,0.0653009936
0.16407226,0.0159748644,0.272114128,0.0248018075
0.154653147,-0.0125150513,0.255619437,-0.0222745556
0.145541474,-0.032415878,0.238985002,-0.0570078678
0.124804579,-0.0325641185,0.206610709,-0.0580123179
0.0812919065,-0.00498661213,0.137038961,-0.0132977776
0.0111468639,0.0522045754,0.0230933633,0.0812464952
-0.0794680119,0.132653847,-0.125068024,0.215548322
-0.176274613,0.220771626,-0.273576438,0.348953456
-0.261694223,0.293000191,-0.386710525,0.442813069
-0.31976825,0.322531819,-0.456279099,0.472690701
-0.339227706,0.287585139,-0.487489462,0.426772445
-0.314668089,0.181235731,-0.476518482,0.289340109
-0.247212365,0.0187746752,-0.39687258,0.0443356968
-0.145855919,-0.161891103,-0.242568105,-0.249314994
-0.0290065184,-0.309280932,-0.0554916449,-0.477663219
0.076080583,-0.375262082,0.103618756,-0.569443524
0.138528839,-0.333982229,0.202380881,-0.517095923
0.134188086,-0.194716707,0.211271912,-0.326136529
0.0579528771,-0.00199957169,0.0987489,-0.0169313736
-0.0680400208,0.17859067,-0.104564719,0.284185827
-0.196420386,0.284175038,-0.293824822,0.439567715
-0.269075215,0.278255999,-0.398624539,0.429508239
-0.240167305,0.164190724,-0.378281057,0.27319029
-0.0982393846,-0.0174455848,-0.168466419,-0.0123308273
0.123484232,-0.206314057,0.185837492,-0.321984887
0.355378658,-0.346591502,0.48780483,-0.49007538
0.516809642,-0.407187164,0.619104683,-0.503850996
