I_in,Q_in,I_out,Q_out
0,-0.0638287365,0.000730091648,-0.101802096
0.0571226887,-0.0939752832,0.0889170319,-0.154628262
0.104546137,-0.0795287862,0.168849692,-0.135504752
0.129605323,-0.0228368547,0.212741956,-0.0446869396
0.121594176,0.0512941927,0.202680334,0.0767184421
0.0778556615,0.108330585,0.131566644,0.176420122
0.00875549205,0.121900961,0.0207506213,0.200847402
-0.0623428375,0.0875978917,-0.0982557759,0.149562821
-0.106006458,0.0253303461,-0.173887178,0.0475905985
-0.098789759,-0.0312718973,-0.167040706,-0.0469453707
-0.0352131799,-0.0530173592,-0.0660833344,-0.0862263739
0.0666302368,-0.0312352031,0.104524739,-0.0535868742
0.169870645,0.0170782153,0.274285406,0.0236792918
0.233256251,0.0582889989,0.376474857,0.0874358267
0.229271337,0.0609490052,0.374852806,0.0939456373
0.157511353,0.0144554181,0.267010152,0.0219840165
0.0463859327,-0.0628108531,0.0851023346,-0.104018465
-0.058543928,-0.130995989,-0.0940143466,-0.214678153
-0.114785127,-0.148788452,-0.190593645,-0.242894605
-0.102380574,-0.0958296508,-0.176415399,-0.160492778
-0.0332509018,0.0144140339,-0.0637846291,0.0200336874
0.0543476529,0.138735324,0.085894905,0.225331649
0.113857076,0.223957881,0.185159028,0.357026041
0.112403177,0.232776344,0.187060058,0.371284217
0.0461716652,0.162503406,0.0869529024,0.270647854
-0.0581948645,0.0468701236,-0.0871601552,0.0822183043
-0.156694725,-0.0603904389,-0.25354436,-0.0940990224
-0.208990052,-0.112012357,-0.339997679,-0.177249551
-0.19702518,-0.0902483985,-0.327140272,-0.144486904
-0.132335886,-0.0147230467,-0.225896776,-0.024270758
-0.0489623472,0.0688222125,-0.0874241069,0.115024872
0.0139284916,0.11285685,0.0230469555,0.186813802
0.0307032261,0.0926605538,0.055526264,0.157168761
-2.76052015e-06,0.0183849633,0.00636591762,0.0348866731
-0.0572369583,-0.0714827329,-0.0909768343,-0.114818268
-0.110483482,-0.131419644,-0.182495147,-0.21393472
-0.135983348,-0.133333609,-0.226288006,-0.218035132
-0.128030822,-0.0810916051,-0.217585757,-0.135491073
-0.0998148695,-0.00750469742,-0.170180604,-0.0124402558
-0.0741841197,0.0443368331,-0.125600517,0.0754474699
-0.0699977428,0.0451104194,-0.114432298,0.0783974603
-0.0917143673,-0.00435172161,-0.149663791,-0.00197047926
-0.127670065,-0.0731322393,-0.208762825,-0.115880288
-0.157477379,-0.116651587,-0.259655237,-0.187666938
-0.163970917,-0.100612946,-0.272355258,-0.163648829
-0.142836362,-0.0197408535,-0.241395012,-0.0349782296
-0.104621969,0.098494105,-0.176822826,0.160356477
-0.0682422519,0.206934184,-0.110579394,0.333800793
-0.049831897,0.261581481,-0.0743631795,0.418747604
-0.053286735,0.242398754,-0.0786050931,0.393520176
-0.0677563921,0.161728621,-0.103830628,0.272608459
-0.0734295771,0.0567815974,-0.118365489,0.101993173
-0.0524029993,-0.0291037206,-0.0870416388,-0.0419798866
0.00126069924,-0.0664157867,-0.00381121715,-0.109588824
0.0776139498,-0.0508672111,0.123871297,-0.0865042582
0.154980063,-0.00171776139,0.250475615,-0.00780345034
0.209837914,0.0504080914,0.339898527,0.0767331794
0.227247298,0.0786768943,0.369283378,0.120132789
0.206660643,0.0702737719,0.34000954,0.11020577
0.160686299,0.0277413484,0.270286322,0.04349944
0.108142704,-0.036972966,0.183745548,-0.0614206046
0.0654781908,-0.110380568,0.10975305,-0.183565617
0.0409462713,-0.181896895,0.0656070486,-0.296247989
